filename,label,good_hits,bad_hits,good_terms_found,bad_terms_found
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/23438112.pdf,ACCOUNTANT,8,0,"communication, expert, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/11163645.pdf,ACCOUNTANT,1,0,designed,
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/33527446.pdf,ACCOUNTANT,3,0,"designed, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/21794875.pdf,ACCOUNTANT,10,0,"designed, implemented, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/20393721.pdf,ACCOUNTANT,8,0,"implemented, manager, r, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/18669563.pdf,ACCOUNTANT,2,0,manager,
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/27558837.pdf,ACCOUNTANT,8,0,"lead, leadership, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/35554162.pdf,ACCOUNTANT,5,0,"implemented, lead, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/13491889.pdf,ACCOUNTANT,1,0,communication,
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/14496667.pdf,ACCOUNTANT,1,0,senior,
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/21853199.pdf,ACCOUNTANT,3,0,"communication, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/10674770.pdf,ACCOUNTANT,5,0,"lead, manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/21338490.pdf,ACCOUNTANT,7,2,"communication, manager, problem solving, r, senior",ms word
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/29050809.pdf,ACCOUNTANT,8,0,"communication, manager, problem solving, r, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/25846894.pdf,ACCOUNTANT,6,0,"implemented, manager, senior, teamwork",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/18569929.pdf,ACCOUNTANT,0,0,,
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/28359817.pdf,ACCOUNTANT,5,0,"implemented, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/25462793.pdf,ACCOUNTANT,1,0,communication,
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/25547145.pdf,ACCOUNTANT,7,0,"communication, designed, expert",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/10554236.pdf,ACCOUNTANT,12,0,"designed, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/39674178.pdf,ACCOUNTANT,2,1,"manager, senior",hardworking
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/12338274.pdf,ACCOUNTANT,4,0,senior,
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/23416654.pdf,ACCOUNTANT,11,0,"communication, implemented, lead, leadership, manager, r, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/29999135.pdf,ACCOUNTANT,3,0,communication,
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/15289348.pdf,ACCOUNTANT,13,2,"expert, implemented, manager, problem solving, senior",ms word
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/26065877.pdf,ACCOUNTANT,6,0,"implemented, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/28298773.pdf,ACCOUNTANT,4,0,"achieved, implemented, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/38847011.pdf,ACCOUNTANT,1,0,manager,
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/12065211.pdf,ACCOUNTANT,8,0,"communication, lead, manager, r, senior, sql",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/30304575.pdf,ACCOUNTANT,6,0,"communication, problem solving, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/24817041.pdf,ACCOUNTANT,0,0,,
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/34198885.pdf,ACCOUNTANT,1,0,communication,
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/27637576.pdf,ACCOUNTANT,11,0,"expert, implemented, manager, r",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/63137898.pdf,ACCOUNTANT,18,0,"communication, expert, implemented, manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/43685045.pdf,ACCOUNTANT,2,0,lead,
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/50222417.pdf,ACCOUNTANT,1,0,senior,
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/11759079.pdf,ACCOUNTANT,7,0,"lead, r, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/25067742.pdf,ACCOUNTANT,0,0,,
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/24703009.pdf,ACCOUNTANT,4,0,"expert, manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/28939941.pdf,ACCOUNTANT,6,0,"communication, lead, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/27980446.pdf,ACCOUNTANT,5,0,"designed, expert, implemented, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/17407184.pdf,ACCOUNTANT,15,0,"delivered, designed, implemented, lead, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/75286906.pdf,ACCOUNTANT,1,0,expert,
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/62809577.pdf,ACCOUNTANT,2,0,"communication, expert",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/12202337.pdf,ACCOUNTANT,10,1,"achieved, communication, expert, leadership, problem solving, statistics",ms word
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/59403481.pdf,ACCOUNTANT,3,0,"communication, implemented",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/24103168.pdf,ACCOUNTANT,5,0,"expert, implemented, problem solving, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/82649935.pdf,ACCOUNTANT,3,0,"communication, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/25862026.pdf,ACCOUNTANT,2,0,senior,
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/13130984.pdf,ACCOUNTANT,4,0,"expert, implemented, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/49204385.pdf,ACCOUNTANT,8,1,"achieved, communication, expert, lead, leadership, problem solving, senior",hardworking
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/14224370.pdf,ACCOUNTANT,3,0,"communication, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/21031285.pdf,ACCOUNTANT,2,0,"implemented, sql",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/31602598.pdf,ACCOUNTANT,2,0,senior,
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/34816637.pdf,ACCOUNTANT,3,0,"manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/25867805.pdf,ACCOUNTANT,3,0,"manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/20253563.pdf,ACCOUNTANT,5,1,"communication, expert, manager",hardworking
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/14449423.pdf,ACCOUNTANT,6,0,"communication, senior, sql",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/19545827.pdf,ACCOUNTANT,8,1,"implemented, manager",helped with
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/17306905.pdf,ACCOUNTANT,13,0,"lead, leadership, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/78403342.pdf,ACCOUNTANT,12,0,"achieved, communication, expert, implemented, lead, leadership, manager, problem solving, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/42487883.pdf,ACCOUNTANT,2,0,"expert, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/ACCOUNTANT/14126433.pdf,ACCOUNTANT,7,0,"communication, lead, senior",
