filename,label,good_hits,bad_hits,good_terms_found,bad_terms_found
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/23631188.pdf,AGRICULTURE,12,1,"communication, delivered, expert, manager, senior",ms word
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/16661264.pdf,AGRICULTURE,2,0,"implemented, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/30437583.pdf,AGRICULTURE,7,0,"communication, expert, leadership, senior, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/20969119.pdf,AGRICULTURE,20,0,"achieved, communication, delivered, lead, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/29510501.pdf,AGRICULTURE,15,0,"communication, designed, lead, leadership, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/28165687.pdf,AGRICULTURE,5,0,"delivered, leadership, manager, teamwork",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/69336473.pdf,AGRICULTURE,1,0,implemented,
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/16507693.pdf,AGRICULTURE,10,0,"achieved, expert, lead, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/15546686.pdf,AGRICULTURE,10,0,"designed, expert, implemented, lead, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/16172429.pdf,AGRICULTURE,6,0,"designed, manager, senior, teamwork",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/37201447.pdf,AGRICULTURE,7,2,"communication, implemented, leadership","hardworking, helped with"
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/28733974.pdf,AGRICULTURE,4,0,"communication, manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/14140903.pdf,AGRICULTURE,11,0,"communication, r",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/18264694.pdf,AGRICULTURE,8,0,"communication, lead, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/54246169.pdf,AGRICULTURE,6,0,"communication, delivered, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/27888251.pdf,AGRICULTURE,2,0,"implemented, lead",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/55712978.pdf,AGRICULTURE,6,0,"designed, expert, lead, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/17640785.pdf,AGRICULTURE,9,0,"designed, leadership, manager, problem solving, r",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/16849128.pdf,AGRICULTURE,2,1,communication,basic computer skills
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/24068423.pdf,AGRICULTURE,8,0,"javascript, r, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/89740812.pdf,AGRICULTURE,8,0,"delivered, designed, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/20006992.pdf,AGRICULTURE,8,0,"designed, expert, implemented, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/27689009.pdf,AGRICULTURE,4,0,"communication, expert, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/69859102.pdf,AGRICULTURE,4,0,"communication, delivered, expert",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/11676151.pdf,AGRICULTURE,5,0,"communication, lead, pmp, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/29746235.pdf,AGRICULTURE,2,0,"communication, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/81042872.pdf,AGRICULTURE,8,1,"achieved, communication, lead, r",hardworking
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/11813872.pdf,AGRICULTURE,35,0,"achieved, aws, cfa, delivered, designed, implemented, java, jira, lead, leadership, manager, optimized, pandas, python, senior, sql",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/21134923.pdf,AGRICULTURE,5,2,"communication, designed, manager, senior",ms word
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/19851252.pdf,AGRICULTURE,0,0,,
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/79536879.pdf,AGRICULTURE,4,1,"communication, problem solving",hardworking
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/17499196.pdf,AGRICULTURE,4,0,"communication, implemented, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/18242317.pdf,AGRICULTURE,3,0,"communication, expert, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/24416961.pdf,AGRICULTURE,17,0,"communication, delivered, designed, implemented, lead, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/29142288.pdf,AGRICULTURE,19,0,"communication, designed, expert, implemented, manager, problem solving, r, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/12674256.pdf,AGRICULTURE,5,0,"expert, lead, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/34141299.pdf,AGRICULTURE,4,0,"communication, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/24397882.pdf,AGRICULTURE,18,0,"designed, expert, implemented, leadership, manager, r, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/84512719.pdf,AGRICULTURE,7,0,"lead, problem solving, teamwork",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/29968330.pdf,AGRICULTURE,1,1,implemented,exposed to
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/40882926.pdf,AGRICULTURE,5,0,"communication, implemented, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/AGRICULTURE/19532392.pdf,AGRICULTURE,4,1,"expert, manager, sql",hardworking
