filename,label,good_hits,bad_hits,good_terms_found,bad_terms_found
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/21867728.pdf,ARTS,14,0,"achieved, communication, expert, lead, manager, problem solving, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/54100393.pdf,ARTS,5,0,"leadership, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/99561379.pdf,ARTS,3,0,manager,
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/25923361.pdf,ARTS,3,0,"delivered, lead",
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/78107631.pdf,ARTS,0,0,,
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/39064638.pdf,ARTS,2,0,leadership,
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/31273413.pdf,ARTS,2,0,"communication, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/12777487.pdf,ARTS,3,0,"designed, implemented, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/79432080.pdf,ARTS,8,0,"implemented, lead, leadership, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/28629430.pdf,ARTS,9,0,"designed, javascript, problem solving, spark",
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/37220856.pdf,ARTS,4,0,"communication, delivered, lead",
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/17325147.pdf,ARTS,2,0,"delivered, designed",
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/20149476.pdf,ARTS,6,0,"designed, implemented, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/32794700.pdf,ARTS,1,0,communication,
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/83338413.pdf,ARTS,1,0,problem solving,
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/23917826.pdf,ARTS,8,0,"communication, implemented, lead, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/25926667.pdf,ARTS,15,0,"adaptability, communication, implemented, leadership, manager, problem solving, teamwork",
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/17033567.pdf,ARTS,2,0,"lead, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/12413512.pdf,ARTS,13,0,"achieved, communication, delivered, lead, leadership, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/27715131.pdf,ARTS,8,0,"communication, designed, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/27164756.pdf,ARTS,6,0,"communication, expert, lead, leadership, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/11555549.pdf,ARTS,4,0,"designed, implemented",
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/50432401.pdf,ARTS,5,0,"designed, implemented, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/37472265.pdf,ARTS,6,0,"communication, designed, implemented, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/20148147.pdf,ARTS,8,0,"communication, expert, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/26079779.pdf,ARTS,2,0,manager,
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/20356750.pdf,ARTS,1,0,manager,
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/13272204.pdf,ARTS,8,0,"expert, implemented, lead, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/23139437.pdf,ARTS,0,2,,hardworking
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/15306049.pdf,ARTS,0,0,,
/home/droski/Desktop/School/Fall25/Capstone/data/ARTS/28471099.pdf,ARTS,16,0,"implemented, leadership, manager",
