filename,label,good_hits,bad_hits,good_terms_found,bad_terms_found
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/99680385.pdf,AUTOMOBILE,15,0,"communication, implemented, lead, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/91515108.pdf,AUTOMOBILE,7,0,"communication, expert, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/15210069.pdf,AUTOMOBILE,4,0,"communication, expert, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/18448085.pdf,AUTOMOBILE,17,0,"implemented, leadership, manager, pandas, problem solving, python, r, spark, sql, statistics, tableau",
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/26341645.pdf,AUTOMOBILE,6,0,"implemented, lead, leadership, sql",
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/24592627.pdf,AUTOMOBILE,7,0,"communication, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/11257723.pdf,AUTOMOBILE,3,0,"communication, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/32109048.pdf,AUTOMOBILE,2,0,manager,
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/78357954.pdf,AUTOMOBILE,7,1,"achieved, implemented, manager",ms word
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/23009962.pdf,AUTOMOBILE,19,0,"delivered, designed, implemented, lead, leadership, senior, teamwork",
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/11887930.pdf,AUTOMOBILE,4,0,"communication, implemented, lead",
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/22946204.pdf,AUTOMOBILE,20,0,"5+ years, designed, java, machine learning, python, r, sql, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/84295343.pdf,AUTOMOBILE,2,0,senior,
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/25047127.pdf,AUTOMOBILE,4,0,"communication, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/15484011.pdf,AUTOMOBILE,6,0,"communication, implemented, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/24703983.pdf,AUTOMOBILE,4,1,"implemented, manager, problem solving",helped with
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/17571262.pdf,AUTOMOBILE,4,0,"implemented, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/14455622.pdf,AUTOMOBILE,10,0,"manager, r, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/16332293.pdf,AUTOMOBILE,4,0,manager,
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/11797122.pdf,AUTOMOBILE,6,0,"communication, delivered, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/47487091.pdf,AUTOMOBILE,3,0,"communication, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/18932512.pdf,AUTOMOBILE,0,1,,ms word
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/15100547.pdf,AUTOMOBILE,4,0,"communication, lead, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/22732234.pdf,AUTOMOBILE,8,0,"communication, leadership, problem solving, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/32069695.pdf,AUTOMOBILE,14,0,"communication, delivered, designed, expert, problem solving, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/82140102.pdf,AUTOMOBILE,0,0,,
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/23522150.pdf,AUTOMOBILE,10,0,"communication, designed, expert, lead",
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/28790806.pdf,AUTOMOBILE,11,0,"delivered, designed, lead, leadership, sql",
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/17510973.pdf,AUTOMOBILE,8,0,"lead, leadership, manager, problem solving, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/22452756.pdf,AUTOMOBILE,4,0,"delivered, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/14508237.pdf,AUTOMOBILE,7,0,"communication, problem solving, r",
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/11152490.pdf,AUTOMOBILE,16,0,"communication, designed, implemented, leadership, manager, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/63989974.pdf,AUTOMOBILE,4,0,manager,
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/51508889.pdf,AUTOMOBILE,42,0,"communication, designed, implemented, java, javascript, lead, senior, sql",
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/97449528.pdf,AUTOMOBILE,8,1,"communication, implemented, leadership, manager, problem solving",hardworking
/home/droski/Desktop/School/Fall25/Capstone/data/AUTOMOBILE/15790602.pdf,AUTOMOBILE,14,0,"delivered, designed, implemented, lead, leadership, manager",
