filename,label,good_hits,bad_hits,good_terms_found,bad_terms_found
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/11752500.pdf,AVIATION,1,0,leadership,
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/11614114.pdf,AVIATION,6,0,"communication, delivered, expert, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/26819872.pdf,AVIATION,8,0,"expert, lead, leadership, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/43408471.pdf,AVIATION,3,0,"lead, optimized",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/42546558.pdf,AVIATION,8,0,"communication, expert, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/18268860.pdf,AVIATION,1,0,achieved,
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/24668861.pdf,AVIATION,10,0,"lead, leadership, manager, senior, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/17274759.pdf,AVIATION,9,1,"communication, implemented, manager, senior",ms word
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/81588968.pdf,AVIATION,2,0,manager,
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/13405229.pdf,AVIATION,0,1,,ms word
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/38663892.pdf,AVIATION,4,0,"lead, problem solving, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/24589765.pdf,AVIATION,16,0,"communication, implemented, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/49646155.pdf,AVIATION,6,0,"implemented, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/30148777.pdf,AVIATION,0,0,,
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/29534737.pdf,AVIATION,4,0,"implemented, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/23761385.pdf,AVIATION,17,0,"designed, expert, implemented, leadership, manager, optimized, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/24544244.pdf,AVIATION,11,0,"achieved, communication, expert, leadership, manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/69458502.pdf,AVIATION,7,1,"communication, designed, implemented, optimized, r",beginner
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/61315605.pdf,AVIATION,3,0,"delivered, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/27512470.pdf,AVIATION,4,0,"communication, leadership, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/67631413.pdf,AVIATION,2,0,"achieved, lead",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/12904972.pdf,AVIATION,8,0,"achieved, communication, lead, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/36727173.pdf,AVIATION,9,0,"communication, lead, leadership, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/32720816.pdf,AVIATION,3,0,"lead, leadership, r",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/28383893.pdf,AVIATION,16,0,"designed, expert, implemented, leadership, manager, r, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/26888302.pdf,AVIATION,6,0,"expert, implemented, problem solving, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/13234267.pdf,AVIATION,3,0,"communication, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/29595906.pdf,AVIATION,0,0,,
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/36252245.pdf,AVIATION,9,0,"communication, expert, implemented, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/31605080.pdf,AVIATION,2,0,problem solving,
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/25719936.pdf,AVIATION,12,0,"designed, expert, implemented, r",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/22168194.pdf,AVIATION,2,0,lead,
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/17983430.pdf,AVIATION,0,0,,
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/16833515.pdf,AVIATION,11,2,"achieved, delivered, designed, implemented, leadership, manager",ms word
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/94137171.pdf,AVIATION,1,0,leadership,
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/16449694.pdf,AVIATION,4,0,"achieved, communication, implemented, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/17152392.pdf,AVIATION,14,0,"achieved, implemented, lead, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/19506295.pdf,AVIATION,7,0,"designed, lead, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/24773845.pdf,AVIATION,10,0,"communication, designed, expert, leadership, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/16850314.pdf,AVIATION,2,0,"communication, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/31536294.pdf,AVIATION,2,0,"lead, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/37473139.pdf,AVIATION,2,0,"communication, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/96457008.pdf,AVIATION,0,0,,
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/68216398.pdf,AVIATION,3,1,"implemented, leadership",hardworking
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/25625173.pdf,AVIATION,9,0,"delivered, implemented, lead, r, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/29167286.pdf,AVIATION,1,0,implemented,
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/14874322.pdf,AVIATION,0,1,,hardworking
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/15618327.pdf,AVIATION,5,0,"communication, expert, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/17008356.pdf,AVIATION,13,0,"5+ years, achieved, lead, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/17876954.pdf,AVIATION,2,0,"communication, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/22232367.pdf,AVIATION,15,0,"expert, linux, python, sql",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/15823995.pdf,AVIATION,5,0,"communication, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/19818707.pdf,AVIATION,11,0,"communication, delivered, lead, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/10176815.pdf,AVIATION,1,0,communication,
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/11959428.pdf,AVIATION,0,0,,
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/23464505.pdf,AVIATION,12,0,"aws, designed, git, implemented, java, linux, sql",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/82738323.pdf,AVIATION,1,0,leadership,
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/21287405.pdf,AVIATION,2,0,"delivered, teamwork",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/92283635.pdf,AVIATION,4,0,"communication, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/24154692.pdf,AVIATION,8,0,"communication, implemented, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/12239749.pdf,AVIATION,6,0,"communication, lead, leadership, manager, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/11333001.pdf,AVIATION,3,0,"achieved, communication, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/17655479.pdf,AVIATION,2,0,"communication, delivered",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/50775901.pdf,AVIATION,5,0,"communication, expert, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/10945968.pdf,AVIATION,11,0,"java, jira, manager, r, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/22650051.pdf,AVIATION,6,0,"communication, expert, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/87826037.pdf,AVIATION,2,0,"designed, implemented",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/11137306.pdf,AVIATION,4,0,"communication, expert, implemented",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/33627938.pdf,AVIATION,3,0,"manager, r",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/15684810.pdf,AVIATION,2,0,expert,
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/14790629.pdf,AVIATION,11,0,"communication, lead, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/29161565.pdf,AVIATION,3,0,"communication, expert, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/27502951.pdf,AVIATION,7,0,"achieved, expert, implemented, lead, manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/20026169.pdf,AVIATION,6,0,"communication, designed, leadership, r, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/12043694.pdf,AVIATION,0,0,,
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/34419403.pdf,AVIATION,1,0,communication,
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/12504278.pdf,AVIATION,7,0,"communication, lead, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/17694572.pdf,AVIATION,2,1,manager,ms word
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/38047274.pdf,AVIATION,7,0,"achieved, communication, designed, manager, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/21190805.pdf,AVIATION,4,0,"designed, implemented, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/23985183.pdf,AVIATION,15,0,"communication, expert, implemented, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/11804712.pdf,AVIATION,8,0,"communication, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/16279537.pdf,AVIATION,8,0,"communication, lead, leadership, manager, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/17483843.pdf,AVIATION,1,0,communication,
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/28020046.pdf,AVIATION,11,1,"communication, expert, implemented, leadership, manager, problem solving, statistics",ms word
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/12192507.pdf,AVIATION,2,0,"communication, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/90318913.pdf,AVIATION,1,0,lead,
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/42427521.pdf,AVIATION,6,1,"communication, manager",beginner
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/10189110.pdf,AVIATION,3,0,"communication, lead",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/43720116.pdf,AVIATION,4,0,"achieved, designed, manager, python",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/58048626.pdf,AVIATION,7,0,"communication, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/26279402.pdf,AVIATION,1,0,manager,
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/19284293.pdf,AVIATION,13,0,"lead, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/10567764.pdf,AVIATION,0,0,,
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/98389424.pdf,AVIATION,10,0,"communication, delivered, designed, implemented, leadership, linux, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/22990761.pdf,AVIATION,0,1,,hardworking
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/13195436.pdf,AVIATION,9,0,"communication, expert, implemented, lead, leadership, teamwork",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/91431878.pdf,AVIATION,0,0,,
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/38355831.pdf,AVIATION,3,0,"lead, manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/99416532.pdf,AVIATION,8,0,"communication, expert, leadership, problem solving, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/10395944.pdf,AVIATION,4,0,"communication, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/25718772.pdf,AVIATION,6,0,"communication, java, linux, optimized, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/11169163.pdf,AVIATION,4,0,"manager, optimized",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/54232810.pdf,AVIATION,2,0,manager,
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/22442947.pdf,AVIATION,11,0,"adaptability, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/42641525.pdf,AVIATION,5,0,"expert, r",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/17686472.pdf,AVIATION,3,0,"communication, designed",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/38989376.pdf,AVIATION,11,0,"expert, implemented, leadership, manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/65219288.pdf,AVIATION,4,0,"implemented, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/28186635.pdf,AVIATION,3,0,"designed, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/77626587.pdf,AVIATION,9,0,"communication, designed, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/29221006.pdf,AVIATION,7,1,"leadership, manager, senior",ms word
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/12144825.pdf,AVIATION,17,0,"communication, designed, docker, expert, git, javascript, leadership, linux, manager, python, senior, sql",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/70198580.pdf,AVIATION,8,0,"expert, leadership, manager, problem solving, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/14589288.pdf,AVIATION,1,0,leadership,
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/27902692.pdf,AVIATION,1,0,expert,
/home/droski/Desktop/School/Fall25/Capstone/data/AVIATION/38154903.pdf,AVIATION,3,0,"lead, problem solving",
