filename,label,good_hits,bad_hits,good_terms_found,bad_terms_found
/home/droski/Desktop/School/Fall25/Capstone/data/BPO/27710853.pdf,BPO,28,0,"achieved, delivered, expert, implemented, lead, leadership, manager, senior, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/BPO/15573418.pdf,BPO,18,0,"implemented, lead, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/BPO/89512321.pdf,BPO,13,0,"communication, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/BPO/15145575.pdf,BPO,2,0,"delivered, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/BPO/18589927.pdf,BPO,5,0,"lead, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/BPO/11183737.pdf,BPO,16,0,"achieved, communication, designed, expert, implemented, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/BPO/30709029.pdf,BPO,4,0,"delivered, leadership, manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/BPO/13964744.pdf,BPO,29,0,"achieved, communication, designed, expert, java, jira, lead, leadership, pmp, senior, sql",
/home/droski/Desktop/School/Fall25/Capstone/data/BPO/19362586.pdf,BPO,2,0,manager,
/home/droski/Desktop/School/Fall25/Capstone/data/BPO/16492045.pdf,BPO,4,0,"achieved, implemented, manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/BPO/57706851.pdf,BPO,5,0,"leadership, manager, sql",
/home/droski/Desktop/School/Fall25/Capstone/data/BPO/26829350.pdf,BPO,7,0,"expert, manager, problem solving, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/BPO/24727739.pdf,BPO,23,0,"achieved, communication, implemented, lead, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/BPO/45077654.pdf,BPO,15,0,"communication, expert, lead",
/home/droski/Desktop/School/Fall25/Capstone/data/BPO/69097572.pdf,BPO,12,0,"communication, designed, implemented, leadership, manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/BPO/31064969.pdf,BPO,11,0,"leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/BPO/23933031.pdf,BPO,12,0,"implemented, lead, leadership, manager, optimized, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/BPO/41152404.pdf,BPO,22,0,"communication, expert, java, javascript, jira, lead, linux, problem solving, sql, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/BPO/38707449.pdf,BPO,2,0,lead,
/home/droski/Desktop/School/Fall25/Capstone/data/BPO/63158213.pdf,BPO,6,0,"implemented, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/BPO/95625660.pdf,BPO,3,0,"manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/BPO/79261033.pdf,BPO,6,0,"implemented, leadership, manager, problem solving",
