filename,label,good_hits,bad_hits,good_terms_found,bad_terms_found
/home/droski/Desktop/School/Fall25/Capstone/data/BUSINESS-DEVELOPMENT/29825044.pdf,BUSINESS-DEVELOPMENT,4,0,"delivered, expert, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/BUSINESS-DEVELOPMENT/24412546.pdf,BUSINESS-DEVELOPMENT,12,0,"manager, r, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/BUSINESS-DEVELOPMENT/65708020.pdf,BUSINESS-DEVELOPMENT,9,0,"designed, implemented, leadership, manager, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/BUSINESS-DEVELOPMENT/32385553.pdf,BUSINESS-DEVELOPMENT,5,0,"communication, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/BUSINESS-DEVELOPMENT/30938994.pdf,BUSINESS-DEVELOPMENT,13,0,"implemented, lead, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/BUSINESS-DEVELOPMENT/16519708.pdf,BUSINESS-DEVELOPMENT,8,0,"delivered, expert, implemented, lead, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/BUSINESS-DEVELOPMENT/33424600.pdf,BUSINESS-DEVELOPMENT,10,0,"leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/BUSINESS-DEVELOPMENT/31638814.pdf,BUSINESS-DEVELOPMENT,4,0,"achieved, designed, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/BUSINESS-DEVELOPMENT/28337049.pdf,BUSINESS-DEVELOPMENT,3,0,"implemented, problem solving, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/BUSINESS-DEVELOPMENT/79759716.pdf,BUSINESS-DEVELOPMENT,6,0,"lead, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/BUSINESS-DEVELOPMENT/18757174.pdf,BUSINESS-DEVELOPMENT,7,0,"leadership, manager, problem solving, senior, teamwork",
/home/droski/Desktop/School/Fall25/Capstone/data/BUSINESS-DEVELOPMENT/61677751.pdf,BUSINESS-DEVELOPMENT,14,0,"designed, expert, implemented, lead, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/BUSINESS-DEVELOPMENT/20317319.pdf,BUSINESS-DEVELOPMENT,5,0,"designed, expert, implemented, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/BUSINESS-DEVELOPMENT/20427934.pdf,BUSINESS-DEVELOPMENT,9,0,"cfa, java, lead, leadership, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/BUSINESS-DEVELOPMENT/81310245.pdf,BUSINESS-DEVELOPMENT,10,0,"communication, delivered, designed, expert, implemented",
/home/droski/Desktop/School/Fall25/Capstone/data/BUSINESS-DEVELOPMENT/38007664.pdf,BUSINESS-DEVELOPMENT,4,0,"lead, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/BUSINESS-DEVELOPMENT/23396633.pdf,BUSINESS-DEVELOPMENT,4,0,"lead, manager, senior",
