filename,label,good_hits,bad_hits,good_terms_found,bad_terms_found
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/23818675.pdf,CONSTRUCTION,10,0,"communication, manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/28815362.pdf,CONSTRUCTION,7,0,"leadership, linux, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/18882984.pdf,CONSTRUCTION,11,0,"achieved, communication, implemented, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/22894544.pdf,CONSTRUCTION,8,0,"communication, delivered, lead, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/25187733.pdf,CONSTRUCTION,20,0,"achieved, delivered, implemented, lead, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/21363048.pdf,CONSTRUCTION,16,0,"implemented, lead, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/88859947.pdf,CONSTRUCTION,12,2,"communication, implemented, lead, manager, pmp",ms word
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/15721849.pdf,CONSTRUCTION,18,0,"communication, expert, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/28949406.pdf,CONSTRUCTION,2,0,manager,
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/17252448.pdf,CONSTRUCTION,5,0,"designed, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/22965804.pdf,CONSTRUCTION,0,0,,
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/10176013.pdf,CONSTRUCTION,11,1,"communication, manager, problem solving",hardworking
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/51638201.pdf,CONSTRUCTION,10,2,"communication, implemented, lead, manager",ms word
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/16378091.pdf,CONSTRUCTION,2,0,"leadership, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/33023370.pdf,CONSTRUCTION,1,0,manager,
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/31850269.pdf,CONSTRUCTION,7,2,"communication, leadership, manager, problem solving, senior",basic computer skills
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/61065616.pdf,CONSTRUCTION,3,0,"communication, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/32265203.pdf,CONSTRUCTION,12,1,"communication, delivered, leadership, manager",hardworking
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/56525735.pdf,CONSTRUCTION,10,0,"expert, lead, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/90032884.pdf,CONSTRUCTION,3,0,"lead, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/28803888.pdf,CONSTRUCTION,2,0,senior,
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/32799518.pdf,CONSTRUCTION,6,0,communication,
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/10734870.pdf,CONSTRUCTION,5,0,"communication, lead, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/12666174.pdf,CONSTRUCTION,6,0,manager,
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/30311725.pdf,CONSTRUCTION,14,1,"communication, expert, implemented, leadership, manager, problem solving, senior",hardworking
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/12890045.pdf,CONSTRUCTION,5,0,"communication, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/12839152.pdf,CONSTRUCTION,16,0,"communication, delivered, designed, expert, implemented, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/94503308.pdf,CONSTRUCTION,8,0,"communication, designed, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/14585273.pdf,CONSTRUCTION,10,0,"achieved, implemented, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/20681037.pdf,CONSTRUCTION,1,0,communication,
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/12212468.pdf,CONSTRUCTION,8,0,"designed, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/12654876.pdf,CONSTRUCTION,17,0,"communication, lead, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/19471144.pdf,CONSTRUCTION,3,0,"lead, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/33141415.pdf,CONSTRUCTION,11,0,"java, javascript, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/29061628.pdf,CONSTRUCTION,1,0,manager,
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/63145386.pdf,CONSTRUCTION,6,0,"designed, implemented, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/63083944.pdf,CONSTRUCTION,15,0,"communication, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/24740005.pdf,CONSTRUCTION,6,0,"communication, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/27246366.pdf,CONSTRUCTION,7,0,"leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/36331163.pdf,CONSTRUCTION,7,1,"communication, leadership, manager, problem solving",hardworking
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/19928941.pdf,CONSTRUCTION,0,0,,
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/22983516.pdf,CONSTRUCTION,5,0,"communication, expert, implemented",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/27243670.pdf,CONSTRUCTION,18,0,"communication, implemented, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/78114950.pdf,CONSTRUCTION,20,2,"communication, implemented, manager",helped with
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/13907230.pdf,CONSTRUCTION,4,0,"communication, delivered, manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/35971546.pdf,CONSTRUCTION,16,0,"achieved, communication, lead, manager, problem solving, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/28942221.pdf,CONSTRUCTION,6,0,"communication, delivered, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/39566718.pdf,CONSTRUCTION,8,1,"lead, manager",ms word
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/45475027.pdf,CONSTRUCTION,11,0,"achieved, communication, delivered, lead, manager, pmp, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/10100240.pdf,CONSTRUCTION,3,0,"communication, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/34544955.pdf,CONSTRUCTION,4,0,"communication, lead, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/39027764.pdf,CONSTRUCTION,9,0,"communication, leadership, manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/22019500.pdf,CONSTRUCTION,8,0,"leadership, manager, problem solving, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/10820510.pdf,CONSTRUCTION,6,0,"aws, lead, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/12695537.pdf,CONSTRUCTION,10,0,"communication, designed, leadership, manager, problem solving, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/17570634.pdf,CONSTRUCTION,12,0,"communication, implemented, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/44147689.pdf,CONSTRUCTION,7,0,"communication, lead, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/12491898.pdf,CONSTRUCTION,6,2,"communication, expert, implemented, leadership, problem solving",hardworking
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/29878348.pdf,CONSTRUCTION,1,1,manager,hardworking
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/26509539.pdf,CONSTRUCTION,1,1,manager,hardworking
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/27835351.pdf,CONSTRUCTION,2,1,"5+ years, senior",hardworking
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/29087505.pdf,CONSTRUCTION,4,0,"leadership, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/10149490.pdf,CONSTRUCTION,20,1,"communication, designed, implemented, lead, leadership, manager, problem solving, statistics",exposed to
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/99433371.pdf,CONSTRUCTION,0,0,,
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/16626724.pdf,CONSTRUCTION,7,0,"manager, r",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/25656981.pdf,CONSTRUCTION,5,0,"communication, lead, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/16924279.pdf,CONSTRUCTION,3,0,"communication, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/29574501.pdf,CONSTRUCTION,8,0,"communication, implemented, manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/21782152.pdf,CONSTRUCTION,9,0,"communication, designed, implemented, manager, r",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/29193505.pdf,CONSTRUCTION,4,0,manager,
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/14849103.pdf,CONSTRUCTION,8,0,"delivered, designed, lead, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/24361598.pdf,CONSTRUCTION,15,2,"communication, delivered, designed, manager, senior",helped with
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/25224998.pdf,CONSTRUCTION,3,1,"delivered, manager",hardworking
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/28756444.pdf,CONSTRUCTION,3,1,"communication, leadership, manager",hardworking
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/30397268.pdf,CONSTRUCTION,6,2,"communication, implemented, manager, senior, teamwork","hardworking, ms word"
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/10041713.pdf,CONSTRUCTION,4,0,"communication, manager, sql",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/39674782.pdf,CONSTRUCTION,9,0,"communication, leadership, manager, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/27066370.pdf,CONSTRUCTION,2,0,manager,
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/12826414.pdf,CONSTRUCTION,19,0,"achieved, communication, implemented, lead, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/39908485.pdf,CONSTRUCTION,43,0,"achieved, communication, delivered, implemented, lead, leadership, manager, optimized, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/48549972.pdf,CONSTRUCTION,2,0,"expert, implemented",
/home/droski/Desktop/School/Fall25/Capstone/data/CONSTRUCTION/32025286.pdf,CONSTRUCTION,7,0,"communication, implemented, manager, senior",
