filename,label,good_hits,bad_hits,good_terms_found,bad_terms_found
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/34962725.pdf,HEALTHCARE,2,0,leadership,
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/16356151.pdf,HEALTHCARE,15,0,"communication, expert, implemented",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/27030979.pdf,HEALTHCARE,8,0,"communication, expert, leadership, manager, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/23138078.pdf,HEALTHCARE,6,0,"communication, leadership, manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/25974844.pdf,HEALTHCARE,6,0,"communication, implemented, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/10568183.pdf,HEALTHCARE,1,1,communication,ms word
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/12315079.pdf,HEALTHCARE,11,0,"achieved, communication, expert, lead, leadership, manager, r",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/13565152.pdf,HEALTHCARE,15,0,"communication, expert, implemented, leadership, manager, problem solving, r",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/16121387.pdf,HEALTHCARE,9,0,"communication, implemented, leadership, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/17545780.pdf,HEALTHCARE,9,0,"achieved, communication, leadership, manager, problem solving, teamwork",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/51777546.pdf,HEALTHCARE,7,0,"communication, implemented, lead, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/22008817.pdf,HEALTHCARE,14,0,"communication, confluence, implemented, lead, leadership, manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/26695839.pdf,HEALTHCARE,6,0,"achieved, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/21866029.pdf,HEALTHCARE,13,0,"communication, delivered, manager, problem solving, senior, sql, tableau",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/12333703.pdf,HEALTHCARE,12,0,"achieved, communication, implemented, manager, r",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/28423028.pdf,HEALTHCARE,15,0,"communication, implemented, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/17539842.pdf,HEALTHCARE,1,0,communication,
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/31395710.pdf,HEALTHCARE,8,0,"achieved, delivered, implemented, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/96260484.pdf,HEALTHCARE,10,0,"designed, expert, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/98300955.pdf,HEALTHCARE,14,0,"communication, delivered, designed, expert, implemented, java, javascript, linux, sql",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/23944036.pdf,HEALTHCARE,4,0,manager,
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/60624892.pdf,HEALTHCARE,11,1,"achieved, communication, leadership, problem solving, senior",ms word
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/18714571.pdf,HEALTHCARE,3,0,"communication, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/34594746.pdf,HEALTHCARE,5,0,"communication, expert, manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/39082090.pdf,HEALTHCARE,6,0,"communication, implemented, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/36861863.pdf,HEALTHCARE,2,0,"manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/26908066.pdf,HEALTHCARE,12,0,"implemented, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/18129173.pdf,HEALTHCARE,3,0,"leadership, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/15499825.pdf,HEALTHCARE,2,0,"lead, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/23918545.pdf,HEALTHCARE,6,0,"communication, expert",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/26958533.pdf,HEALTHCARE,2,0,"adaptability, expert",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/11605833.pdf,HEALTHCARE,6,0,"communication, leadership, manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/25328428.pdf,HEALTHCARE,2,0,"achieved, communication",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/85417107.pdf,HEALTHCARE,8,0,"communication, lead, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/16702198.pdf,HEALTHCARE,6,1,"lead, manager, senior",ms word
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/10076271.pdf,HEALTHCARE,3,0,"designed, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/75744306.pdf,HEALTHCARE,2,0,"communication, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/16132195.pdf,HEALTHCARE,4,0,"communication, expert, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/17864043.pdf,HEALTHCARE,6,0,"implemented, lead, problem solving, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/29134372.pdf,HEALTHCARE,9,0,"communication, implemented, lead, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/87520378.pdf,HEALTHCARE,5,0,"communication, leadership, senior, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/35579812.pdf,HEALTHCARE,6,0,"communication, expert, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/25834360.pdf,HEALTHCARE,6,0,"expert, implemented, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/49325370.pdf,HEALTHCARE,4,0,"communication, designed, expert, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/98309114.pdf,HEALTHCARE,18,0,"achieved, designed, leadership, manager, senior, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/26585242.pdf,HEALTHCARE,14,0,"lead, manager, senior, sql, tableau",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/58879993.pdf,HEALTHCARE,5,0,"communication, leadership, senior, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/18949843.pdf,HEALTHCARE,6,0,"communication, designed, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/32219038.pdf,HEALTHCARE,0,0,,
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/36625776.pdf,HEALTHCARE,15,0,"expert, implemented, lead, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/33803142.pdf,HEALTHCARE,18,0,"communication, delivered, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/46349752.pdf,HEALTHCARE,4,0,"communication, implemented",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/13352113.pdf,HEALTHCARE,5,0,"communication, delivered, manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/47996197.pdf,HEALTHCARE,1,0,senior,
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/23814777.pdf,HEALTHCARE,5,0,"communication, delivered, designed, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/20736486.pdf,HEALTHCARE,7,0,"communication, delivered, expert, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/91478356.pdf,HEALTHCARE,2,0,manager,
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/14062078.pdf,HEALTHCARE,4,0,"communication, delivered, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/HEALTHCARE/45907524.pdf,HEALTHCARE,2,0,"leadership, senior",
