filename,label,good_hits,bad_hits,good_terms_found,bad_terms_found
/home/droski/Desktop/School/Fall25/Capstone/data/HR/28419173.pdf,HR,10,0,"communication, lead, manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/HR/25824789.pdf,HR,9,0,"designed, implemented, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/HR/32947778.pdf,HR,10,0,"implemented, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/HR/19179079.pdf,HR,14,0,"communication, designed, lead, leadership, manager, senior, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/HR/47470864.pdf,HR,7,0,"communication, lead, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/HR/30646367.pdf,HR,1,0,manager,
/home/droski/Desktop/School/Fall25/Capstone/data/HR/32308556.pdf,HR,10,0,"communication, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/HR/23408537.pdf,HR,1,0,implemented,
/home/droski/Desktop/School/Fall25/Capstone/data/HR/19717385.pdf,HR,6,0,"communication, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/HR/29091445.pdf,HR,1,0,implemented,
/home/droski/Desktop/School/Fall25/Capstone/data/HR/44476983.pdf,HR,11,0,"communication, implemented, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/HR/26780935.pdf,HR,11,0,"communication, delivered, lead, leadership, problem solving, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/HR/39081840.pdf,HR,12,2,"communication, implemented, lead, leadership, manager, senior, teamwork",beginner
/home/droski/Desktop/School/Fall25/Capstone/data/HR/27165830.pdf,HR,22,0,"communication, expert, lead, leadership, manager, teamwork",
/home/droski/Desktop/School/Fall25/Capstone/data/HR/25150191.pdf,HR,13,0,"communication, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/HR/80162314.pdf,HR,3,0,"communication, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/HR/29564653.pdf,HR,5,0,"communication, designed, expert",
/home/droski/Desktop/School/Fall25/Capstone/data/HR/26048718.pdf,HR,22,0,"communication, delivered, implemented, leadership, manager, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/HR/24508725.pdf,HR,8,0,"communication, expert, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/HR/11698189.pdf,HR,3,0,leadership,
/home/droski/Desktop/School/Fall25/Capstone/data/HR/26671167.pdf,HR,3,1,"communication, delivered",helped with
/home/droski/Desktop/School/Fall25/Capstone/data/HR/18297650.pdf,HR,15,0,"communication, designed, expert, java, linux, senior, sql",
/home/droski/Desktop/School/Fall25/Capstone/data/HR/27496514.pdf,HR,4,0,"communication, designed, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/HR/73077810.pdf,HR,2,0,manager,
/home/droski/Desktop/School/Fall25/Capstone/data/HR/14640322.pdf,HR,2,0,"communication, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/HR/57667857.pdf,HR,7,0,"designed, expert, implemented, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/HR/13879043.pdf,HR,10,0,"designed, lead, leadership, manager, optimized, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/HR/87968870.pdf,HR,3,0,"implemented, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/HR/23914451.pdf,HR,11,0,"implemented, leadership, manager, problem solving, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/HR/16877897.pdf,HR,15,0,"communication, javascript, manager, r, senior, sql",
/home/droski/Desktop/School/Fall25/Capstone/data/HR/27490876.pdf,HR,8,0,"lead, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/HR/14225422.pdf,HR,3,0,manager,
/home/droski/Desktop/School/Fall25/Capstone/data/HR/14256329.pdf,HR,2,0,"communication, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/HR/18422164.pdf,HR,4,0,"communication, delivered, manager, senior",
