filename,label,good_hits,bad_hits,good_terms_found,bad_terms_found
/home/droski/Desktop/School/Fall25/Capstone/data/INFORMATION-TECHNOLOGY/15791766.pdf,INFORMATION-TECHNOLOGY,8,0,"communication, delivered, implemented, manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/INFORMATION-TECHNOLOGY/10247517.pdf,INFORMATION-TECHNOLOGY,14,0,"communication, designed, implemented, leadership, manager, problem solving, sql",
/home/droski/Desktop/School/Fall25/Capstone/data/INFORMATION-TECHNOLOGY/51363762.pdf,INFORMATION-TECHNOLOGY,10,0,"implemented, lead, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/INFORMATION-TECHNOLOGY/81761658.pdf,INFORMATION-TECHNOLOGY,9,0,"communication, implemented, leadership, linux, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/INFORMATION-TECHNOLOGY/28126340.pdf,INFORMATION-TECHNOLOGY,32,0,"delivered, expert, implemented, javascript, lead, leadership, linux, sql",
/home/droski/Desktop/School/Fall25/Capstone/data/INFORMATION-TECHNOLOGY/13477922.pdf,INFORMATION-TECHNOLOGY,1,0,senior,
/home/droski/Desktop/School/Fall25/Capstone/data/INFORMATION-TECHNOLOGY/10089434.pdf,INFORMATION-TECHNOLOGY,12,0,"azure, java, linux, manager, sql",
/home/droski/Desktop/School/Fall25/Capstone/data/INFORMATION-TECHNOLOGY/15297298.pdf,INFORMATION-TECHNOLOGY,12,0,"communication, delivered, implemented, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/INFORMATION-TECHNOLOGY/19850482.pdf,INFORMATION-TECHNOLOGY,16,0,"implemented, leadership, manager, senior, teamwork",
/home/droski/Desktop/School/Fall25/Capstone/data/INFORMATION-TECHNOLOGY/48037995.pdf,INFORMATION-TECHNOLOGY,1,0,expert,
/home/droski/Desktop/School/Fall25/Capstone/data/INFORMATION-TECHNOLOGY/22776912.pdf,INFORMATION-TECHNOLOGY,25,0,"designed, implemented, leadership, manager, r, sql",
/home/droski/Desktop/School/Fall25/Capstone/data/INFORMATION-TECHNOLOGY/21283365.pdf,INFORMATION-TECHNOLOGY,11,0,"communication, designed, lead, leadership, manager, r",
/home/droski/Desktop/School/Fall25/Capstone/data/INFORMATION-TECHNOLOGY/23666211.pdf,INFORMATION-TECHNOLOGY,12,0,"expert, leadership, manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/INFORMATION-TECHNOLOGY/23864648.pdf,INFORMATION-TECHNOLOGY,8,0,"designed, implemented, lead, leadership, linux, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/INFORMATION-TECHNOLOGY/17681064.pdf,INFORMATION-TECHNOLOGY,24,0,"expert, implemented, lead, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/INFORMATION-TECHNOLOGY/17688766.pdf,INFORMATION-TECHNOLOGY,14,0,"communication, leadership, manager, problem solving, senior, sql",
/home/droski/Desktop/School/Fall25/Capstone/data/INFORMATION-TECHNOLOGY/24038620.pdf,INFORMATION-TECHNOLOGY,7,0,"implemented, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/INFORMATION-TECHNOLOGY/92069209.pdf,INFORMATION-TECHNOLOGY,16,0,"communication, designed, implemented, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/INFORMATION-TECHNOLOGY/32959732.pdf,INFORMATION-TECHNOLOGY,19,0,"azure, communication, expert, implemented, lead, leadership, linux, manager, senior, sql, tableau",
/home/droski/Desktop/School/Fall25/Capstone/data/INFORMATION-TECHNOLOGY/25905275.pdf,INFORMATION-TECHNOLOGY,8,0,"communication, leadership, problem solving",
