filename,label,good_hits,bad_hits,good_terms_found,bad_terms_found
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/11635137.pdf,PUBLIC-RELATIONS,3,0,"communication, designed, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/14667659.pdf,PUBLIC-RELATIONS,8,0,"communication, delivered, expert, implemented, leadership, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/13727873.pdf,PUBLIC-RELATIONS,3,0,"communication, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/20966771.pdf,PUBLIC-RELATIONS,12,0,"communication, delivered, designed, implemented, optimized",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/14536764.pdf,PUBLIC-RELATIONS,10,0,"expert, lead, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/45900271.pdf,PUBLIC-RELATIONS,9,0,"communication, lead, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/24559558.pdf,PUBLIC-RELATIONS,5,1,"delivered, expert, implemented, manager, senior",hardworking
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/23143731.pdf,PUBLIC-RELATIONS,2,0,implemented,
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/19558834.pdf,PUBLIC-RELATIONS,6,0,"communication, implemented, leadership, r",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/12567516.pdf,PUBLIC-RELATIONS,9,0,"communication, designed, implemented, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/10070224.pdf,PUBLIC-RELATIONS,8,0,"communication, delivered, designed, implemented",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/24677466.pdf,PUBLIC-RELATIONS,9,0,"communication, designed, implemented, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/23015611.pdf,PUBLIC-RELATIONS,10,0,"achieved, ai, expert, implemented, lead, machine learning, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/11850315.pdf,PUBLIC-RELATIONS,11,0,"communication, implemented, lead, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/14278888.pdf,PUBLIC-RELATIONS,0,0,,
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/21321598.pdf,PUBLIC-RELATIONS,6,0,"communication, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/36107065.pdf,PUBLIC-RELATIONS,29,0,"communication, gcp, leadership, manager, r, senior, sql, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/21478007.pdf,PUBLIC-RELATIONS,9,0,"communication, leadership, manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/11624880.pdf,PUBLIC-RELATIONS,4,0,"communication, designed",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/18133495.pdf,PUBLIC-RELATIONS,32,0,"communication, implemented, leadership, linux, manager, senior, sql",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/21663616.pdf,PUBLIC-RELATIONS,16,0,"adaptability, communication, expert, leadership, manager, teamwork",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/22754014.pdf,PUBLIC-RELATIONS,8,0,"designed, expert, lead, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/14910300.pdf,PUBLIC-RELATIONS,14,0,"communication, expert, implemented, lead, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/36671891.pdf,PUBLIC-RELATIONS,27,0,"communication, expert, implemented, lead, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/19929506.pdf,PUBLIC-RELATIONS,6,0,"communication, expert, implemented",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/11160414.pdf,PUBLIC-RELATIONS,17,0,"communication, lead, manager, r, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/75329822.pdf,PUBLIC-RELATIONS,10,0,"implemented, lead, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/23673025.pdf,PUBLIC-RELATIONS,8,0,"communication, implemented, lead",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/31292364.pdf,PUBLIC-RELATIONS,6,0,"communication, designed, expert, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/25001005.pdf,PUBLIC-RELATIONS,24,0,"communication, designed, lead, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/37375999.pdf,PUBLIC-RELATIONS,12,0,"communication, expert, implemented, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/21297828.pdf,PUBLIC-RELATIONS,2,0,communication,
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/26127853.pdf,PUBLIC-RELATIONS,9,0,"communication, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/31220062.pdf,PUBLIC-RELATIONS,14,0,"communication, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/29329075.pdf,PUBLIC-RELATIONS,5,0,"communication, manager, r",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/10873344.pdf,PUBLIC-RELATIONS,6,0,"communication, delivered, lead, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/15917885.pdf,PUBLIC-RELATIONS,8,0,"manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/24491862.pdf,PUBLIC-RELATIONS,7,0,"communication, expert, implemented, leadership, teamwork",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/65237556.pdf,PUBLIC-RELATIONS,4,0,"communication, lead, manager, tableau",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/53701275.pdf,PUBLIC-RELATIONS,9,0,"communication, designed, implemented, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/16226743.pdf,PUBLIC-RELATIONS,3,0,"communication, expert, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/14009087.pdf,PUBLIC-RELATIONS,8,0,"communication, designed, implemented, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/28290448.pdf,PUBLIC-RELATIONS,32,0,"adaptability, communication, designed, implemented, leadership, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/22560013.pdf,PUBLIC-RELATIONS,10,0,"communication, designed, implemented, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/28862054.pdf,PUBLIC-RELATIONS,14,0,"communication, implemented, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/31211074.pdf,PUBLIC-RELATIONS,2,0,"manager, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/23771896.pdf,PUBLIC-RELATIONS,8,0,"communication, expert, implemented, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/33072201.pdf,PUBLIC-RELATIONS,11,0,"communication, implemented, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/13129275.pdf,PUBLIC-RELATIONS,6,0,"communication, manager, problem solving, scala, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/31392754.pdf,PUBLIC-RELATIONS,4,1,"leadership, manager",ms word
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/45462344.pdf,PUBLIC-RELATIONS,5,0,"leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/85973397.pdf,PUBLIC-RELATIONS,23,0,"communication, designed, lead, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/16620172.pdf,PUBLIC-RELATIONS,14,2,"achieved, communication, implemented, leadership, manager",entry-level
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/12191094.pdf,PUBLIC-RELATIONS,5,0,communication,
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/23631724.pdf,PUBLIC-RELATIONS,4,0,"communication, implemented, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/23048999.pdf,PUBLIC-RELATIONS,11,0,"communication, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/26173524.pdf,PUBLIC-RELATIONS,6,0,"communication, designed, expert, problem solving, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/10554045.pdf,PUBLIC-RELATIONS,3,2,"delivered, implemented, manager",ms word
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/24710433.pdf,PUBLIC-RELATIONS,9,0,"communication, designed, expert, implemented, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/19503224.pdf,PUBLIC-RELATIONS,8,0,"communication, implemented, lead, leadership, r, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/16103783.pdf,PUBLIC-RELATIONS,6,0,"communication, delivered, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/22455205.pdf,PUBLIC-RELATIONS,8,0,"implemented, leadership, manager, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/37913536.pdf,PUBLIC-RELATIONS,3,0,"manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/11842274.pdf,PUBLIC-RELATIONS,12,0,"communication, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/28531493.pdf,PUBLIC-RELATIONS,16,0,"achieved, communication, designed, implemented, lead, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/34712719.pdf,PUBLIC-RELATIONS,7,1,"communication, designed, leadership, problem solving",hardworking
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/32441790.pdf,PUBLIC-RELATIONS,6,0,"communication, leadership, manager, r",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/24977396.pdf,PUBLIC-RELATIONS,14,0,"communication, delivered, lead, leadership, manager, r",
