filename,label,good_hits,bad_hits,good_terms_found,bad_terms_found
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/34689720.pdf,TEACHER,4,0,"implemented, lead, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/90363254.pdf,TEACHER,13,0,"communication, designed, expert, implemented, lead, manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/16210888.pdf,TEACHER,15,0,"communication, lead, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/19556300.pdf,TEACHER,0,0,,
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/24791126.pdf,TEACHER,3,0,"expert, r, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/79663360.pdf,TEACHER,8,0,"communication, lead, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/16820422.pdf,TEACHER,4,0,"lead, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/99244405.pdf,TEACHER,11,0,"communication, implemented, leadership, manager, optimized, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/28013287.pdf,TEACHER,4,0,"communication, lead, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/58665241.pdf,TEACHER,3,0,"achieved, implemented",
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/69005326.pdf,TEACHER,3,0,"communication, implemented, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/15850434.pdf,TEACHER,4,1,"communication, designed, implemented, problem solving",helped with
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/76196367.pdf,TEACHER,3,0,"implemented, lead",
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/34745915.pdf,TEACHER,4,0,"implemented, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/37660306.pdf,TEACHER,14,0,"delivered, designed, lead, manager, r",
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/66683238.pdf,TEACHER,6,2,"achieved, communication, lead",ms word
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/29639533.pdf,TEACHER,12,0,"designed, implemented, lead, r, teamwork",
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/24240349.pdf,TEACHER,3,0,"communication, leadership, r",
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/34465087.pdf,TEACHER,7,0,"communication, expert, implemented, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/20230207.pdf,TEACHER,5,0,"lead, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/48547319.pdf,TEACHER,3,0,"communication, implemented",
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/22632070.pdf,TEACHER,1,0,implemented,
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/13296856.pdf,TEACHER,10,0,"communication, leadership, manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/23939133.pdf,TEACHER,3,0,"expert, implemented, lead",
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/15899269.pdf,TEACHER,0,0,,
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/10909720.pdf,TEACHER,5,0,implemented,
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/11943065.pdf,TEACHER,2,0,"designed, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/45286020.pdf,TEACHER,0,0,,
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/20478831.pdf,TEACHER,8,0,"communication, delivered, designed, expert, implemented, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/28063132.pdf,TEACHER,3,0,communication,
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/13330982.pdf,TEACHER,5,0,"implemented, leadership, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/TEACHER/51209395.pdf,TEACHER,3,0,"communication, implemented, leadership",
